testBody
{"firmware":"5.96","device":"90-4D-26-40-D0-E7","lat":54.6629507,"lon":17.21407}
{"firmware":"3.9","device":"7A-C1-69-BA-43-D9","lat":-33.2827093,"lon":-70.879328}
{"firmware":"8.1.0","device":"8C-5A-C0-AD-7C-5A","lat":13.9289816,"lon":121.3567739}
{"firmware":"7.39","device":"8D-0A-EF-E9-27-80","lat":32.762127,"lon":34.97298}
{"firmware":"0.65","device":"BA-26-C5-D3-24-70","lat":27.851032,"lon":120.120494}
{"firmware":"0.6.4","device":"B0-3E-9C-93-41-14","lat":-7.1332,"lon":113.53472}
{"firmware":"1.1.5","device":"EE-17-E9-CB-16-D5","lat":30.5859716,"lon":114.2689545}
{"firmware":"7.8","device":"60-DF-10-24-F0-08","lat":40.1300413,"lon":-8.3176644}
{"firmware":"7.3","device":"4B-19-AF-93-0B-0D","lat":-7.1370986,"lon":108.4454089}
{"firmware":"0.54","device":"EF-E0-47-D7-95-E0","lat":54.8675594,"lon":31.3957567}
{"firmware":"0.6.6","device":"16-7F-42-51-E0-09","lat":39.6941363,"lon":45.4592782}
{"firmware":"0.1.0","device":"14-59-1E-A8-3C-1E","lat":43.3222143,"lon":132.4125243}
{"firmware":"0.45","device":"82-87-1B-26-50-E8","lat":32.026097,"lon":112.232692}
{"firmware":"4.00","device":"17-82-1D-EF-25-D8","lat":13.447898,"lon":22.4649083}
{"firmware":"6.19","device":"08-81-B6-E6-86-C5","lat":-6.7676998,"lon":108.1676607}
{"firmware":"0.3.1","device":"A5-75-5E-89-E7-71","lat":49.7917105,"lon":18.3442739}
{"firmware":"0.70","device":"B6-A9-88-CB-B0-AC","lat":32.72692,"lon":67.63696}
{"firmware":"7.2.9","device":"74-BF-F9-8C-81-9A","lat":-21.953253,"lon":-48.0006076}
{"firmware":"4.18","device":"F3-92-A4-BC-F0-3D","lat":-8.928324,"lon":-76.1116997}
{"firmware":"4.2","device":"C0-70-72-67-3C-BD","lat":1.5594449,"lon":101.0146187}
{"firmware":"6.4.2","device":"42-B3-DC-D9-87-F7","lat":-7.6331351,"lon":109.2474701}
{"firmware":"1.7","device":"F2-3B-C8-59-BA-E1","lat":36.1181827,"lon":36.5162077}
{"firmware":"2.30","device":"5E-76-1E-9B-F9-A5","lat":8.47834,"lon":125.743983}
{"firmware":"4.64","device":"BF-44-40-80-7E-44","lat":-6.633688,"lon":107.1573142}
{"firmware":"0.2.1","device":"07-0A-44-02-7E-AE","lat":-5.0173504,"lon":122.8704925}
{"firmware":"3.99","device":"36-80-FD-B3-84-A0","lat":-34.8415903,"lon":-58.6564775}
{"firmware":"0.29","device":"1C-7F-F2-D6-9B-1E","lat":-7.3706874,"lon":108.5342487}
{"firmware":"8.78","device":"BE-8E-04-24-EE-09","lat":16.5196395,"lon":121.1798821}
{"firmware":"0.6.9","device":"84-62-A1-49-E0-27","lat":45.0485391,"lon":20.0808092}
{"firmware":"5.80","device":"23-83-DD-C5-02-1F","lat":-24.7023134,"lon":-48.0076188}
{"firmware":"0.1.1","device":"35-5D-A9-BF-4F-30","lat":22.3750231,"lon":102.8112253}
{"firmware":"0.7.7","device":"A8-D4-A6-36-F4-38","lat":40.637939,"lon":69.59436}
{"firmware":"9.3","device":"C1-D3-2F-98-89-85","lat":14.4184896,"lon":-90.2440545}
{"firmware":"0.6.5","device":"54-44-6E-95-CA-35","lat":41.069856,"lon":124.048328}
{"firmware":"6.49","device":"64-2A-8D-B0-12-28","lat":29.301449,"lon":111.101029}
{"firmware":"1.7","device":"A3-69-44-3E-20-B3","lat":41.9799999,"lon":-91.66}
{"firmware":"0.6.4","device":"13-19-75-3F-18-38","lat":-7.0773485,"lon":108.4602464}
{"firmware":"0.50","device":"0F-BD-07-3F-58-D3","lat":-21.7712926,"lon":-47.0856897}
{"firmware":"0.8.6","device":"51-6C-55-C8-86-99","lat":57.2363399,"lon":25.0380728}
{"firmware":"0.48","device":"95-03-9B-1D-85-08","lat":39.9368237,"lon":116.4442945}
{"firmware":"0.5.5","device":"9C-F5-CD-F1-5C-B8","lat":36.038046,"lon":14.219377}
{"firmware":"0.95","device":"F7-2D-77-F5-88-A4","lat":34.143068,"lon":-118.1412651}
{"firmware":"8.65","device":"58-CA-62-04-38-FB","lat":-8.6436289,"lon":122.1235054}
{"firmware":"0.31","device":"1D-91-DF-30-3D-2C","lat":-24.9288708,"lon":-53.4392535}
{"firmware":"5.5","device":"E2-A1-1D-04-82-9D","lat":10.5306091,"lon":121.9482983}
{"firmware":"0.75","device":"45-40-20-86-BD-87","lat":-8.0600591,"lon":112.2890705}
{"firmware":"8.0.4","device":"77-1C-70-C2-C7-35","lat":24.366556,"lon":116.697433}
{"firmware":"2.8","device":"F2-44-95-A7-62-64","lat":40.9803118,"lon":-8.4404236}
{"firmware":"5.05","device":"86-13-AB-52-B7-5E","lat":35.2037032,"lon":-80.7842188}
{"firmware":"6.4.4","device":"F2-EB-6C-2C-A5-82","lat":-19.9661142,"lon":-43.1359542}
{"firmware":"0.9.1","device":"D8-36-3B-2A-87-1F","lat":38.0222208,"lon":23.7851957}
{"firmware":"6.8","device":"85-20-9B-5B-98-19","lat":26.0952694,"lon":119.3062749}
{"firmware":"0.3.4","device":"44-65-15-2E-25-B8","lat":-27.2369945,"lon":28.8476254}
{"firmware":"0.6.2","device":"26-26-7B-4E-24-BC","lat":8.5974312,"lon":-80.1791368}
{"firmware":"0.8.3","device":"7C-12-86-8D-12-E2","lat":-8.5693726,"lon":118.6557911}
{"firmware":"3.7","device":"DE-6E-75-46-25-88","lat":14.960458,"lon":120.755354}
{"firmware":"9.0","device":"90-1B-18-58-42-D6","lat":-34.3998126,"lon":-58.6057651}
{"firmware":"3.42","device":"ED-29-27-D4-CC-2C","lat":-6.2386948,"lon":106.8176984}
{"firmware":"0.2.0","device":"CC-04-8E-11-2D-99","lat":29.144064,"lon":121.006595}
{"firmware":"6.54","device":"8F-E6-88-3F-E3-1D","lat":-12.4754252,"lon":-39.2583293}
{"firmware":"1.64","device":"F1-01-CA-22-A7-B5","lat":50.4734865,"lon":2.9394741}
{"firmware":"6.8.6","device":"FF-8E-3B-79-4A-5C","lat":31.7447636,"lon":120.7071967}
{"firmware":"2.6","device":"84-6E-25-D9-A5-A7","lat":35.476788,"lon":110.442846}
{"firmware":"7.80","device":"12-0F-BE-16-D3-62","lat":34.8015007,"lon":135.5624945}
{"firmware":"6.7","device":"74-D5-14-A3-0A-DC","lat":-6.9100633,"lon":107.7147697}
{"firmware":"9.1.4","device":"74-F8-7F-CF-FA-9F","lat":42.7996836,"lon":27.2454348}
{"firmware":"0.15","device":"6F-2F-FD-70-25-06","lat":30.807667,"lon":108.408661}
{"firmware":"5.58","device":"68-D6-3F-5C-9A-8B","lat":34.894093,"lon":106.836465}
{"firmware":"9.02","device":"4F-BD-93-56-8F-E5","lat":43.9777294,"lon":21.2572719}
{"firmware":"3.4","device":"B2-66-EC-80-31-7C","lat":33.3128057,"lon":44.3614875}
{"firmware":"9.41","device":"87-E3-54-97-7A-75","lat":1.424768,"lon":103.6487041}
{"firmware":"4.9.1","device":"45-50-8E-D6-CC-AD","lat":42.0288112,"lon":20.9969544}
{"firmware":"6.9","device":"DC-46-F0-50-1B-A3","lat":-5.6455578,"lon":-37.8512309}
{"firmware":"0.1.3","device":"6B-74-67-D3-8D-9E","lat":50.5602346,"lon":29.5970439}
{"firmware":"0.2.0","device":"AA-1B-9A-BE-8F-5B","lat":6.5592478,"lon":124.6846104}
{"firmware":"0.9.3","device":"31-29-25-FE-65-06","lat":2.6715181,"lon":98.8087151}
{"firmware":"5.2","device":"6C-5E-47-FB-5E-42","lat":30.8346,"lon":117.552738}
{"firmware":"8.9","device":"58-D8-90-78-48-EF","lat":6.8113706,"lon":126.0868349}
{"firmware":"0.88","device":"50-78-35-61-FB-D9","lat":35.1149116,"lon":33.919245}
{"firmware":"4.1.5","device":"77-41-3A-57-71-DD","lat":33.7443314,"lon":36.7011138}
{"firmware":"9.7","device":"5D-4C-9E-4C-17-F2","lat":37.8509191,"lon":21.2543651}
{"firmware":"0.29","device":"FB-39-91-20-B6-AF","lat":35.529096,"lon":112.849999}
{"firmware":"2.2","device":"C2-F8-7B-F8-4F-A1","lat":50.5037851,"lon":14.7986888}
{"firmware":"8.2.8","device":"D9-2F-AD-05-F0-22","lat":14.3012259,"lon":122.4328888}
{"firmware":"1.8","device":"21-4E-D1-70-D5-84","lat":23.36225,"lon":103.374576}
{"firmware":"0.71","device":"97-E3-0C-5E-3E-CA","lat":11.5825677,"lon":108.9912066}
{"firmware":"0.35","device":"BC-28-70-52-C4-F4","lat":39.2393667,"lon":-8.9485146}
{"firmware":"5.3","device":"8A-18-D8-B6-1A-EC","lat":10.4868673,"lon":-66.739712}
{"firmware":"9.0.1","device":"77-80-B7-5B-EC-43","lat":28.151803,"lon":109.394445}
{"firmware":"4.0.3","device":"5F-02-76-14-83-95","lat":24.4623104,"lon":118.0801092}
{"firmware":"0.2.3","device":"DD-A0-D6-F0-EE-E1","lat":39.2586992,"lon":-9.3242373}
{"firmware":"0.6.7","device":"65-A2-2C-77-61-0D","lat":52.3369183,"lon":15.3336362}
{"firmware":"5.75","device":"4F-EF-8C-C5-B9-7F","lat":27.622797,"lon":119.388311}
{"firmware":"7.11","device":"2C-2B-6B-17-B7-A3","lat":38.6099176,"lon":-8.8036223}
{"firmware":"8.8.3","device":"F3-93-06-6C-F2-FB","lat":46.6521155,"lon":38.0807467}
{"firmware":"2.24","device":"F2-EA-E1-D6-5B-3C","lat":53.0329376,"lon":23.6062185}
{"firmware":"7.1.9","device":"EF-9A-F7-96-CB-9F","lat":51.6818091,"lon":14.874997}
{"firmware":"0.8.5","device":"CC-95-CF-30-2D-24","lat":40.0249257,"lon":44.4540632}
{"firmware":"0.6.2","device":"CC-DA-91-E7-AA-53","lat":-9.8691816,"lon":124.6662951}
{"firmware":"0.9.7","device":"C5-1B-A7-65-99-DF","lat":24.4320647,"lon":118.3155101}
{"firmware":"7.98","device":"E3-A2-74-C7-32-98","lat":5.7643446,"lon":20.670528}
{"firmware":"0.60","device":"46-25-CE-CD-B8-BC","lat":15.1503549,"lon":120.8129183}
{"firmware":"4.1","device":"BE-D0-0D-34-D7-CE","lat":39.8783781,"lon":116.0313067}
{"firmware":"0.7.6","device":"24-83-4B-B1-2B-5F","lat":-33.1416441,"lon":-64.3600342}
{"firmware":"9.1","device":"9D-D8-BA-39-57-8D","lat":-32.968211,"lon":-60.6752261}
{"firmware":"0.11","device":"D1-A5-1D-55-4F-6F","lat":25.6775595,"lon":-100.2596935}
{"firmware":"4.6","device":"78-FB-E8-CC-C5-BE","lat":43.7441795,"lon":2.511999}
{"firmware":"0.8.0","device":"CA-AD-00-C3-21-2F","lat":45.5220648,"lon":-122.6757228}
{"firmware":"9.0.5","device":"08-E2-1F-B4-41-27","lat":-7.1733576,"lon":113.5103504}
{"firmware":"0.72","device":"D1-06-F9-A4-48-09","lat":29.8282551,"lon":114.3213706}
{"firmware":"3.3","device":"8C-FD-1D-7B-68-38","lat":39.179865,"lon":117.207298}
{"firmware":"6.3","device":"FB-AD-B5-BB-33-9A","lat":-51.57321,"lon":-72.3508}
{"firmware":"4.23","device":"99-CB-31-BA-FE-DB","lat":-6.7047889,"lon":111.6258282}
{"firmware":"2.6","device":"9C-A0-0F-4A-F7-0D","lat":51.035673,"lon":18.5985286}
{"firmware":"0.1.4","device":"63-47-0B-D0-CB-B0","lat":40.1068238,"lon":44.4322092}
{"firmware":"7.84","device":"C3-15-45-8C-76-B0","lat":38.39917,"lon":125.61556}
{"firmware":"0.1.9","device":"F9-F6-B3-58-23-96","lat":-38.9615131,"lon":-68.103824}
{"firmware":"5.9.9","device":"3F-AD-07-14-B3-51","lat":43.2020428,"lon":46.134662}
{"firmware":"6.7.3","device":"E1-D3-6C-76-82-53","lat":24.094765,"lon":116.00509}
{"firmware":"1.11","device":"66-30-55-1A-3A-F6","lat":27.0444171,"lon":31.3189319}
{"firmware":"0.10","device":"32-33-9E-39-71-15","lat":20.3474809,"lon":-74.5023819}
{"firmware":"7.7.7","device":"1C-9A-0E-B2-27-52","lat":31.298974,"lon":120.585289}
{"firmware":"0.7.5","device":"15-4C-A4-03-A9-32","lat":-9.5463283,"lon":118.9996527}
{"firmware":"0.6.0","device":"8E-1A-1E-2B-11-B8","lat":23.364295,"lon":116.700277}
{"firmware":"8.1","device":"5B-61-02-CC-46-22","lat":1.3887283,"lon":125.0167866}
{"firmware":"9.1","device":"07-6D-DE-EC-60-B6","lat":41.451118,"lon":-81.6309078}
{"firmware":"5.7","device":"19-EF-D7-AA-30-A2","lat":23.46188,"lon":91.186911}
{"firmware":"0.8.7","device":"E0-C5-90-C0-AF-19","lat":48.5239429,"lon":37.7075811}
{"firmware":"2.3","device":"EF-8C-49-4C-AE-45","lat":30.108216,"lon":104.677091}
{"firmware":"4.0.8","device":"25-85-54-CE-3B-F0","lat":50.0360024,"lon":22.0152079}
{"firmware":"0.3.9","device":"CC-19-28-63-E4-D3","lat":-5.897522,"lon":22.4172256}
{"firmware":"0.27","device":"44-74-09-B7-9F-EF","lat":24.094765,"lon":116.00509}
{"firmware":"4.82","device":"33-27-85-D6-92-9F","lat":35.3170344,"lon":70.8744255}
{"firmware":"1.58","device":"BA-99-AB-DC-48-2E","lat":34.035771,"lon":113.852454}
{"firmware":"1.2.3","device":"57-D2-09-55-8D-F6","lat":37.031485,"lon":118.254644}
{"firmware":"6.81","device":"7D-40-90-77-DD-A6","lat":28.682309,"lon":118.244769}
{"firmware":"0.44","device":"2C-9A-21-50-55-C1","lat":-16.025181,"lon":-73.170822}
{"firmware":"4.4.8","device":"40-22-E3-F1-6D-93","lat":55.111901,"lon":83.8869856}
{"firmware":"7.6","device":"FD-45-03-5E-99-45","lat":6.2792612,"lon":-57.5391225}
{"firmware":"1.5.3","device":"EF-0A-2F-B9-11-EB","lat":41.1163724,"lon":-8.2693138}
{"firmware":"9.9.1","device":"EF-25-CF-62-94-19","lat":-7.5229136,"lon":108.0509743}
{"firmware":"7.2","device":"6D-34-B1-78-2E-80","lat":34.2,"lon":-118.47}
{"firmware":"7.34","device":"C0-9C-E8-24-DD-92","lat":-23.1036632,"lon":-46.7285093}
{"firmware":"9.30","device":"58-C7-B8-A0-3B-7E","lat":16.024626,"lon":120.200683}
{"firmware":"0.47","device":"39-B0-6E-F5-5D-80","lat":14.5257818,"lon":20.9238397}
{"firmware":"0.5.6","device":"7E-69-88-CE-FE-06","lat":50.749001,"lon":15.702767}
{"firmware":"5.3","device":"A6-0E-D0-6F-56-5A","lat":-11.5886713,"lon":43.277533}
{"firmware":"2.25","device":"52-17-7F-1D-D5-06","lat":-8.1553145,"lon":111.8270486}
{"firmware":"8.7","device":"7D-87-DA-2A-63-CC","lat":27.372513,"lon":117.731346}
{"firmware":"7.6","device":"8A-A3-41-83-BE-AA","lat":30.335237,"lon":112.239631}
{"firmware":"2.5.5","device":"01-51-06-7C-9B-E8","lat":-3.4763823,"lon":-80.2225448}
{"firmware":"0.75","device":"31-17-EB-28-38-CA","lat":6.474867,"lon":-72.970517}
{"firmware":"7.9","device":"F1-9F-11-18-BE-E7","lat":57.5275396,"lon":12.0592344}
{"firmware":"0.61","device":"32-4B-DC-B3-41-99","lat":48.9095,"lon":25.33926}
{"firmware":"0.97","device":"CE-82-2C-5C-C5-FC","lat":30.150684,"lon":115.134207}
{"firmware":"0.9.1","device":"1F-A2-98-A9-78-BA","lat":14.2226543,"lon":121.4213333}
{"firmware":"0.18","device":"7D-99-67-9A-34-A0","lat":-37.7068442,"lon":175.1468145}
{"firmware":"8.0","device":"02-41-9A-D9-EF-EB","lat":51.8910459,"lon":-8.4242597}
{"firmware":"0.13","device":"79-E5-D3-7C-B1-1C","lat":45.5787215,"lon":-72.001055}
{"firmware":"0.4.4","device":"D9-ED-25-30-1D-10","lat":7.8394835,"lon":126.0502748}
{"firmware":"4.5","device":"46-B3-CE-A9-02-AD","lat":53.532995,"lon":57.5184732}
{"firmware":"0.8.6","device":"7F-A0-12-45-6B-C9","lat":14.4450355,"lon":121.4022181}
{"firmware":"8.76","device":"26-69-35-E0-A5-09","lat":39.4779651,"lon":-8.0757391}
{"firmware":"0.75","device":"EB-E2-B3-41-96-6B","lat":18.8121479,"lon":-70.0347754}
{"firmware":"0.6.9","device":"F8-8B-8C-F1-6A-CA","lat":8.9172672,"lon":17.5505152}
{"firmware":"0.49","device":"86-0E-DD-8D-DE-E1","lat":45.031933,"lon":35.382433}
{"firmware":"0.21","device":"6D-98-01-FB-08-BE","lat":44.692194,"lon":85.70601}
{"firmware":"6.41","device":"40-11-5D-03-FA-D4","lat":45.5178224,"lon":20.6883184}
{"firmware":"0.6.8","device":"97-4F-B2-18-E9-1D","lat":63.2994414,"lon":18.5988916}
{"firmware":"0.2.8","device":"EA-E9-D1-73-AA-35","lat":21.3971282,"lon":106.71167}
{"firmware":"1.9","device":"B4-3A-BF-D9-42-B7","lat":-39.5365944,"lon":176.8492097}
{"firmware":"0.5.9","device":"8F-4C-85-5A-BE-FF","lat":57.5129829,"lon":24.721996}
{"firmware":"0.57","device":"7B-4C-69-08-2C-20","lat":45.6243985,"lon":-62.002631}
{"firmware":"2.83","device":"68-A7-A7-10-15-E9","lat":44.8147261,"lon":65.5887379}
{"firmware":"8.33","device":"A8-99-0F-1D-48-AC","lat":40.60624,"lon":-8.5926997}
{"firmware":"8.0","device":"75-07-FB-97-4B-CA","lat":23.284628,"lon":116.268675}
{"firmware":"0.85","device":"10-39-3D-1F-E3-3D","lat":47.854132,"lon":-0.607106}
{"firmware":"5.07","device":"EE-AF-0C-B5-8C-75","lat":59.9494208,"lon":10.9243808}
{"firmware":"7.42","device":"E0-51-BD-92-49-2C","lat":56.450936,"lon":23.353057}
{"firmware":"4.8","device":"ED-10-59-65-30-AB","lat":6.1323473,"lon":8.0219738}
{"firmware":"7.14","device":"72-0C-12-A6-23-8C","lat":40.2314017,"lon":44.2477669}
{"firmware":"5.62","device":"C1-07-10-A5-76-66","lat":23.3790333,"lon":113.7632828}
{"firmware":"0.49","device":"F3-79-53-EE-DD-B5","lat":30.574474,"lon":103.923651}
{"firmware":"0.4.4","device":"FB-AE-DE-93-91-96","lat":34.4516463,"lon":135.7636857}
{"firmware":"0.72","device":"53-0C-D2-6A-64-A7","lat":-6.3323352,"lon":105.8671954}
{"firmware":"6.8.2","device":"09-A2-1C-62-AD-F3","lat":-25.9248045,"lon":28.0172665}
{"firmware":"0.3.2","device":"B0-9E-64-1F-68-BC","lat":20.9069092,"lon":-77.2807423}
{"firmware":"9.5.8","device":"29-7D-B2-C4-46-71","lat":22.9081486,"lon":-83.1702597}
{"firmware":"7.73","device":"E6-E7-BB-26-34-93","lat":36.276526,"lon":109.351019}
{"firmware":"0.6.7","device":"F6-69-B2-D7-30-BE","lat":-6.5864219,"lon":106.7441048}
{"firmware":"0.81","device":"17-C5-27-B1-96-56","lat":49.78998,"lon":129.40992}
{"firmware":"0.64","device":"5A-37-51-D6-C5-93","lat":12.4866658,"lon":108.042083}
{"firmware":"8.6.7","device":"35-57-B9-BB-C8-B2","lat":14.1501831,"lon":121.3167785}
{"firmware":"4.41","device":"45-AC-B4-89-07-C6","lat":39.75,"lon":19.683333}
{"firmware":"0.9.8","device":"7B-F2-20-E3-3F-15","lat":39.978848,"lon":119.775799}
{"firmware":"0.26","device":"9A-FC-F4-3F-E9-52","lat":31.829323,"lon":119.977286}
{"firmware":"3.80","device":"61-BB-CD-52-AC-52","lat":24.111841,"lon":112.910406}
{"firmware":"0.38","device":"4E-C2-21-53-0F-3C","lat":54.4771768,"lon":-8.2817353}
{"firmware":"0.3.2","device":"E1-22-77-39-B2-CD","lat":22.954248,"lon":113.235046}
{"firmware":"5.01","device":"7D-AB-DB-D5-9B-06","lat":50.5774075,"lon":16.4967184}
{"firmware":"6.14","device":"E6-F2-46-0C-97-97","lat":39.7968818,"lon":-74.9245946}
{"firmware":"0.3.0","device":"26-72-8B-72-4D-AF","lat":63.1709533,"lon":17.2596201}
{"firmware":"0.95","device":"18-39-2C-6B-1C-18","lat":23.4464152,"lon":120.2570421}
{"firmware":"7.7.8","device":"4D-6A-73-FF-44-1E","lat":7.1949432,"lon":100.5905788}
{"firmware":"0.8.4","device":"41-1E-E8-82-A6-C4","lat":14.5732425,"lon":121.020976}
{"firmware":"0.37","device":"FC-E3-35-3F-CF-DC","lat":38.7099952,"lon":20.7141164}
{"firmware":"0.1.8","device":"51-46-E5-DE-C0-AB","lat":14.0004996,"lon":121.9279688}
{"firmware":"3.05","device":"BE-A7-5C-61-EF-C4","lat":36.3845687,"lon":140.2519636}
{"firmware":"0.1.4","device":"EC-BA-1A-47-64-74","lat":40.9201953,"lon":23.9742039}
{"firmware":"5.32","device":"C6-0B-59-C7-DA-37","lat":-8.2105982,"lon":112.4708685}
{"firmware":"1.2","device":"36-D4-E4-FE-2E-58","lat":11.0465171,"lon":14.1407948}
{"firmware":"0.43","device":"48-11-90-F3-ED-F6","lat":52.1469857,"lon":21.7379077}
{"firmware":"7.2.9","device":"F3-CB-4D-6D-3B-AA","lat":23.303506,"lon":58.026708}
{"firmware":"0.1.1","device":"75-55-C6-D1-CE-31","lat":53.30215,"lon":23.28784}
{"firmware":"0.9.2","device":"FE-B5-40-0F-66-CF","lat":13.9293954,"lon":121.3228399}
{"firmware":"7.8.7","device":"DA-14-65-FE-65-26","lat":30.920219,"lon":103.620536}
{"firmware":"0.1.0","device":"C1-D4-F8-77-0B-28","lat":29.432849,"lon":110.923502}
{"firmware":"0.76","device":"E2-38-42-CC-A2-99","lat":7.450268,"lon":8.6091961}
